"id","safra","y","VAR_1","VAR_2","VAR_3","VAR_4","VAR_5","VAR_6","VAR_7","VAR_8","VAR_9","VAR_10","VAR_11","VAR_12","VAR_13","VAR_14","VAR_15","VAR_16","VAR_17","VAR_18","VAR_19","VAR_20","VAR_21","VAR_22","VAR_23","VAR_24","VAR_25","VAR_26","VAR_27","VAR_28","VAR_29","VAR_30","VAR_31","VAR_32","VAR_33","VAR_34","VAR_35","VAR_36","VAR_37","VAR_38","VAR_39","VAR_40","VAR_41","VAR_42","VAR_43","VAR_44","VAR_45","VAR_46","VAR_47","VAR_48","VAR_49","VAR_50","VAR_51","VAR_52","VAR_53","VAR_54","VAR_55","VAR_56","VAR_57","VAR_58","VAR_59","VAR_60","VAR_61","VAR_62","VAR_63","VAR_64","VAR_65","VAR_66","VAR_67","VAR_68","VAR_69","VAR_70","VAR_71","VAR_72","VAR_73","VAR_74","VAR_75","VAR_76","VAR_77","VAR_78"
1,"201404",0,0,0,0,0,124.54,3277,51.98,NA,500,153,NA,299,73.26,1024,26.98,162,3000,72,45,8,1279,63,77.67,492.84,12,845,NA,12,16,500,22,0.133832912727673,18,NA,NA,0,16,220.84,348,9,9.57,33,19,11,512.82,36,0,16,0,159.28,379,53.97,3380,500,159.28,159.28,45,369,95.54,-0.0304781166421273,0,2508,159.28,0,1303.79,8,-69,16,156.38,7.52,0,151,0,3,477.84,173.06,0,3
2,"201407",0,64,0,2,1,47.92,2443,84.72,NA,1000,649,NA,224,38.53,NA,NA,84,NA,50,18,12,1063,31,177.39,335.44,9,NA,842,10,NA,1000,14,0.133832912727673,13,NA,NA,NA,NA,338.9,179,5,NA,NA,19,9,269.71,NA,0,NA,NA,NA,NA,NA,1000,2000,NA,NA,60,228,97.73,0.357323965312407,NA,836,NA,0,1486.26,24,NA,NA,707.84,NA,NA,187,NA,NA,NA,184.69,54,NA
3,"201405",0,99,2,2,2,80.38,1824,26.63,NA,1893.35,346,29.98,106,NA,NA,73.55,8,NA,3,2,12,116,4,140.25,362.71,3,NA,597,5,NA,1893.35,NA,0.133832912727673,2,NA,59.97,NA,NA,133.17,NA,4,NA,NA,3,12,NA,NA,0,NA,NA,NA,NA,294.2,1893.35,1893.35,NA,NA,31,264,294.57,-0.411786729965823,NA,NA,NA,0,800.27,18,NA,NA,471.86,NA,NA,96,NA,NA,NA,732,121.98,NA
4,"201412",0,0,0,0,0,10.58,3796,NA,NA,3000,119,NA,NA,NA,1609,NA,36,1500,17,11,12,255,14,29.99,74.06,0,1238,NA,0,5,3000,12,0.133832912727673,3,NA,NA,0,-1,NA,NA,5,NA,7,NA,6,NA,7,0,NA,NA,NA,594,NA,3000,7000,287.31,NA,76,49,NA,0.721630021341369,5.75,NA,287.31,0,NA,4,-133,NA,119.96,23,0,417,0,0,NA,NA,0,0
5,"201403",1,0,0,0,0,70.46,437,40.69,10.99,2000,NA,62.78,NA,NA,288,29.58,NA,NA,NA,0,12,NA,0,NA,493.22,0,43,NA,0,-9,2000,0,0.090634138151029,0,10.99,313.91,0,-9,326.89,NA,0,0,-9,NA,0,NA,-9,NA,-16,0,182.89,288,147.94,2946.29,2946.29,182.89,182.89,38,332,NA,-0.231735369185606,NA,NA,NA,1,1457.78,NA,-272,-16,NA,NA,0,75,0,0,914.45,NA,NA,0
6,"201405",0,61,0,4,1,NA,140,39.83,55.31,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,NA,0,NA,NA,0,NA,NA,0,NA,400,NA,0.0467093416827228,0,145.96,NA,NA,NA,278.81,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,400,800,NA,NA,33,NA,NA,-0.354107585360257,NA,NA,NA,1,390.54,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
7,"201404",0,51,0,0,1,NA,218,51.48,53.21,953.42,NA,17.49,NA,NA,NA,NA,NA,NA,NA,0,5,NA,0,NA,NA,0,NA,NA,0,NA,1953.42,NA,0.0571981886428283,0,253.62,69.98,NA,NA,199.94,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,953.42,953.42,NA,NA,39,NA,NA,-0.231735369185606,NA,NA,NA,1,455.63,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
8,"201409",0,0,0,0,0,NA,301,NA,NA,800,NA,NA,NA,NA,NA,26.97,NA,800,NA,0,9,NA,0,NA,NA,0,NA,NA,0,NA,955.94,NA,0.090634138151029,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,26.97,NA,800,NA,NA,35,NA,NA,-0.30845333657335,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,301,NA,NA,NA,NA,NA,NA
9,"201408",0,16,0,0,0,65.86,858,29.7,25.53,1000,211,14.32,NA,NA,760,NA,0,1984.18,NA,0,12,NA,0,42.48,329.32,0,378,441,0,NA,2000,0,0.133832912727673,0,178.71,42.96,NA,NA,207.92,NA,3,NA,20,NA,4,NA,20,0,NA,NA,NA,760,NA,2936.72,1484.18,NA,NA,49,328,164.16,0.079926420595367,NA,NA,NA,1,768.69,10,NA,NA,212.47,13.38,0,-49,0,3,NA,137.86,0,3
10,"201404",0,21,0,0,0,65.56,1716,55.17,19.99,1200,1414,74.23,924,78.17,601,73.99,164,2000,16,7,12,682,8,314.98,327.85,12,493,375,12,21,1200,53,0.133832912727673,1,39.98,437.63,5.21,NA,275.93,389,12,NA,21,32,12,390.9,21,0,NA,NA,NA,364,369.96,2700,2700,NA,NA,50,326,586.4,0.156301087833759,5.21,836,260.46,0,1772.41,35,NA,NA,1655.3,9.74,2,42,2,2,NA,993.93,234.86,2
11,"201403",0,NA,NA,NA,NA,NA,1913,NA,NA,1000,NA,NA,313,NA,1290,NA,86,1000,20,12,12,272,15,NA,NA,11,1144,NA,11,-9,1000,19,0.133832912727673,3,NA,NA,NA,NA,NA,NA,0,NA,-6,21,0,NA,-2,0,NA,NA,NA,650,NA,1000,3000,NA,NA,52,NA,NA,0.156301087833759,0,836,219.54,1,NA,NA,-121,NA,NA,0,0,1176,0,0,NA,NA,NA,0
12,"201408",0,0,0,0,0,NA,2941,38.3,57.44,1000,29,33.83,NA,75.45,NA,42.41,NA,3000,24,5,12,169,12,7.49,NA,0,NA,NA,0,NA,2068.79,NA,0.133832912727673,7,372.14,236.81,NA,NA,268.1,414,0,NA,NA,NA,0,488.47,NA,NA,NA,NA,NA,NA,224.95,1000,NA,NA,NA,45,NA,177.13,-0.0304781166421273,NA,NA,NA,1,26.89,4,NA,NA,29.99,NA,NA,-1,NA,NA,NA,228.86,0,NA
